id,area,priority,phase,evidence,work,acceptance,effort_risk,dependencies,source_references
B05,Booleans and GFA,P2,2,H,"Audit VV, VF and EF candidate generation together so phase-local speedups do not leave repeated topology gathering or another all-pairs phase dominant.",Add separate phase counters and reuse validated domains/bounds across compatible phases; do not bypass per-phase tolerance or representation checks.,M/high,Q05; M04,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B06,Booleans and GFA,P1,2,S,Index N-body overlap partitioning; fuse_all already batches connected clusters but partition_touching still checks every body pair.,Measure 100/1000/10000 disconnected bodies and dense clusters; preserve touching versus strictly disjoint semantics and exact polyhedral/cylinder gap proofs.,M/medium,Q05; M04,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B07,Booleans and GFA,P2,5,S,Extend true N-ary execution where pairwise/sequential fallbacks remain expensive; keep existing compound_cut and fuse_cluster as the baseline.,"Track intermediate face counts, copied bytes and fallback rate; require equivalent material, region partition, order policy and construction lineage.",L/high,B06; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B08,Booleans and GFA,P1,5,H,Rank exact analytic fast paths by observed fallback cost and workload frequency; qualify the highest-value missing surface/contact family one at a time.,"Report exact success, typed refusal and disclosed approximation separately; require independent material/volume and topology oracles, not just fewer faces.",L/high,M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B09,Booleans and GFA,P2,1,S,"Reuse phase-local topology lists, curve domains, tolerance checks, surface frames and boundary projections instead of repeated lookup/collection.","Attribute saved allocations and samples on a GFA phase benchmark; cache keys include the domain, tolerance and geometry revision.",M/medium,M04; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B10,Booleans and GFA,P2,5,H,"Measure remaining face splitting, same-domain grouping, shell assembly and junction/weld work; extend existing spatial indices only where counters reveal growth.","Preserve existing fixed scaling regressions; count rejected candidates, near-coincident junction probes and assembly passes on both sparse and dense fixtures.",M/high,M04; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B11,Booleans and GFA,P2,6,H,"Parallelize pure pair geometry into per-worker result buffers, then sort and commit in a deterministic topology-allocation phase.","Measure 1/2/4/8/16 threads, serial small-input crossover and peak memory; identical results, typed first-error policy and accurate aggregated counters are mandatory.",XL/high,B04; T01; P01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B12,Booleans and GFA,P2,5,S,"Optimize the already-bounded mesh fallback independently: reuse operand tessellation, BVHs and triangle predicates, and eliminate repeated conversion.","Keep it explicitly approximate; unchanged error bounds, watertightness and resource refusal; exact workloads must never be routed here to appear faster.",L/high,M07; D02; Q01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
N01,"Math, NURBS, fitting and intersection",P1,1,M,Store interpolation matrices in compact band form; the solve is already banded but allocation/zeroing remains n-by-n.,Measure resident allocation and runtime for 128/512/2048/8192 points; retain pivot fill bandwidth and interpolation residuals on ill-conditioned/repeated-knot inputs.,M/high,M05; M06,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N02,"Math, NURBS, fitting and intersection",P1,1,S,Exploit local support in least-squares fitting instead of dense N-transpose-N assembly; factor once and solve all coordinates together.,"Benchmark sample and control-point scaling; compare residuals and endpoint constraints, and consider banded QR when conditioning makes normal equations unsuitable.",M/high,M04; M05; M06,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N03,"Math, NURBS, fitting and intersection",P1,1,M,Replace intersection-point all-pairs adjacency and full-component nearest-neighbor searches with deterministic spatial neighborhoods and ordering.,"The measured sparse chain should stop growing approximately quadratically; preserve current threshold graph, all branches, ties, loops and close separate components.",M/high,M04; M06,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N04,"Math, NURBS, fitting and intersection",P1,1,S,Expose scratch-buffer derivative APIs and fuse position/first/second derivative evaluation so consumers reuse basis values and homogeneous sums.,"Count allocations and basis evaluations on integration, projection, SSI and walker workloads; verify derivative finite differences and projective weight-scale invariance.",M/high,M04; M05; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N05,"Math, NURBS, fitting and intersection",P2,5,M,Benchmark direct versus cached evaluators on realistic multi-span grids before adopting the existing power-basis evaluator; both audit fixtures made the cached path slower.,"Include construction cost, amortization, rational degrees 3/9, knots and derivatives; adopt only proven winning regimes with a stable dispatch criterion.",M/medium,M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N06,"Math, NURBS, fitting and intersection",P2,5,S,Precompute per-axis basis/span tables for tensor-product sampling and quadrature; reuse factorizations only when knot/parameter systems really match.,"Measure surface grids, loft rows and repeated fits; do not assume independently chord-parameterized rows share the same matrix.",M/high,N04; N05,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N07,"Math, NURBS, fitting and intersection",P2,5,S,"Reduce SSI patch cloning, redundant subdivision and re-marching of an already traced branch; reuse decomposition/evaluator state per surface pair.","Track patch bytes, seed count, unique branches, Newton calls and retries; preserve tangencies, tiny loops, periodic closure and existing resource budgets.",L/high,M04; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N08,"Math, NURBS, fitting and intersection",P2,5,S,"Improve safeguarded projection/extrema with temporal seeds, reusable workspaces and proven bounds; retain global-search fallback where local Newton is insufficient.",Benchmark repeated nearby queries and adversarial multiple minima; an estimated Lipschitz constant is not a new license for certified pruning.,L/high,Q05; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N09,"Math, NURBS, fitting and intersection",P2,5,S,"Profile filtered predicate fast-path/fallback rates and duplicate filtering, plus CDT constraint recovery and stale-hint linear scans.",Count actual fallback work by geometry family; preserve exact predicate signs and constrained edges on near-degenerate and large-coordinate inputs.,M/high,M04; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N10,"Math, NURBS, fitting and intersection",P3,7,H,"Evaluate f64 SIMD batches and structure-of-arrays layouts for basis evaluation, projections, bounds and surface grids.","Show end-to-end benefit on native and actual SIMD WASM; respect exact arithmetic/error bounds, alignment, lane tails and code-size budgets.",L/high,N04; N05; W01; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
N11,"Math, NURBS, fitting and intersection",P3,7,H,"Evaluate small fixed-degree kernels, polynomial specializations, inlining and cold-path separation only after profiling identifies a material hotspot.","Measure instructions, cache misses and code size as well as time; keep high-degree/rational/general fallbacks and unchanged floating-point contracts.",M/high,M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L210; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/fitting.rs#L323; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/chaining.rs#L184; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/evaluator.rs#L17; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/surface.rs#L389; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/nurbs/intersection/surface_seeding.rs#L70
D01,Tessellation and mesh production,P1,4,S,"Create a revisioned per-face mesh cache with shared edge-sample dependencies and explicit keys for linear/angular tolerance, purpose and face attribution.","Unchanged views reuse meshes; one edge edit invalidates every incident face; tests cover holes, seams, sheets, cavities and rolled-back edits.",L/high,Q02; D03,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L331; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L913; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/cdt/constraints.rs#L8; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/nurbs.rs#L31; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/mesh_ops.rs#L28
D02,Tessellation and mesh production,P1,4,S,"Share edge sampling between solid tessellation, wireframe, export and queries when contracts match.",Count evaluations and copied points; do not mix display samples with mesh-boolean circle-floor policy or lose directed coedge domains.,M/high,M04; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L331; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L913; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/cdt/constraints.rs#L8; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/nurbs.rs#L31; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/mesh_ops.rs#L28
D03,Tessellation and mesh production,P1,4,S,"Split tessellation into boundary planning, local triangulation, shared-boundary reconciliation and deterministic assembly before broadening parallelism.",Existing edge sampling and holed-planar CDT remain the baseline; Steiner points reaching neighboring faces must be reconciled before dependent triangulation.,L/high,M04; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L331; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L913; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/cdt/constraints.rs#L8; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/nurbs.rs#L31; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/mesh_ops.rs#L28
D04,Tessellation and mesh production,P2,6,S,"Parallelize eligible nonplanar faces and independent meshes with workload-based grain sizes, after boundary ownership is stable.","Measure thread scaling, skewed face sizes, small inputs and memory; prove watertightness and face-ID stability across thread counts.",L/high,D03; P01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L331; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L913; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/cdt/constraints.rs#L8; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/nurbs.rs#L31; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/mesh_ops.rs#L28
D05,Tessellation and mesh production,P2,1,S,Instrument CDT point-location/constraint walks and reuse legalization scratch; repair frequent fallback scans rather than replacing Hilbert ordering that already exists.,"Track triangle visits, flips, Steiner points and fallback scans at 1k/10k/100k points, long holes and skinny constraints.",M/high,M04; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L331; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L913; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/cdt/constraints.rs#L8; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/nurbs.rs#L31; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/mesh_ops.rs#L28
D06,Tessellation and mesh production,P2,5,H,Reduce over-tessellation through analytic/adaptive subdivision within the requested chord and angular budgets.,Verify maximum geometric deviation and topology on curved trims and singularities; triangle reduction must not weaken an existing quality contract.,L/high,M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L331; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L913; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/cdt/constraints.rs#L8; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/nurbs.rs#L31; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/mesh_ops.rs#L28
D07,Tessellation and mesh production,P2,4,S,"Reduce mesh assembly passes and temporary arrays for grouping, welding, normals and face offsets; reserve from measured counts.","Compare allocated bytes and wall time at fixed triangle count; keep stable grouping, seam normals and shared boundary IDs.",M/medium,M05; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L331; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/solid.rs#L913; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/cdt/constraints.rs#L8; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/nurbs.rs#L31; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/tessellate/mesh_ops.rs#L28
